Metal,Analyte,Metal_Thickness_nm,Theta_res_deg,FWHM_deg,Sensitivity_Theoretical_deg_per_RIU,Chi_Theoretical,Q_Theoretical
Ag,analyte_01,45,63.10400888140883,0.5,87.76298651819735,175.5259730363947,126.20801776281766
Ag,analyte_01,46,63.09154821180904,0.45999999999999375,87.76298651819735,190.78910112651857,137.1555395908911
Ag,analyte_01,47,63.08042927878068,0.4200000000000017,87.76298651819735,208.95949170999285,150.19149828281053
Ag,analyte_01,48,63.0705007636202,0.39000000000000057,87.76298651819735,225.03329876460828,161.71923272723106
Ag,analyte_01,49,63.06163076425856,0.35999999999999943,87.76298651819735,243.78607366165969,175.17119656738515
Ag,analyte_01,50,63.05370382274847,0.3299999999999983,87.76298651819735,265.9484439945388,191.07182976590542
Ag,analyte_01,51,63.046620542698854,0.3100000000000023,87.76298651819735,283.1064081232152,203.37619529902707
Ag,analyte_01,52,63.04027572695773,0.28999999999999915,87.76298651819735,302.63098799378486,217.3802611274411
Ag,analyte_01,53,63.03459207417642,0.269999999999996,87.76298651819735,325.0480982155505,233.4614521265828
Ag,analyte_01,54,63.02950724233368,0.25,87.76298651819735,351.0519460727894,252.11802896933472
Ag,analyte_01,55,63.02493783723336,0.23999999999999488,87.76298651819735,365.67911049249676,262.6039076551446
Ag,analyte_02,45,63.007397157027995,0.5,87.46305895205296,174.92611790410592,126.01479431405599
Ag,analyte_02,46,62.99496997700481,0.46000000000000085,87.46305895205296,190.13708467837566,136.94558690653193
Ag,analyte_02,47,62.983879675546625,0.4200000000000017,87.46305895205296,208.24537845726812,149.9616182751104
Ag,analyte_02,48,62.973977061523726,0.39000000000000057,87.46305895205296,224.2642537232124,161.4717360551888
Ag,analyte_02,49,62.965130178811265,0.35999999999999943,87.46305895205296,242.95294153348084,174.9031393855871
Ag,analyte_02,50,62.95722357177145,0.3300000000000054,87.46305895205296,265.0395725819743,190.7794653690013
Ag,analyte_02,51,62.95014868200654,0.30999999999999517,87.46305895205296,282.13889984533654,203.06499574841138
Ag,analyte_02,52,62.94381529276102,0.28999999999999915,87.46305895205296,301.59675500708005,217.04763894055588
Ag,analyte_02,53,62.938154534256014,0.2600000000000051,87.46305895205296,336.39638058481245,242.06982513174913
Ag,analyte_02,54,62.93306447804171,0.240000000000002,87.46305895205296,364.4294123002177,262.2211019918383
Ag,analyte_02,55,62.92851988628664,0.23000000000000398,87.46305895205296,380.2741693567454,273.6022603751546
Au,analyte_01,45,63.98268869645129,1.480000000000004,92.17522987541714,62.28056072663304,43.23154641652103
Au,analyte_01,46,63.96609774413381,1.3800000000000026,92.17522987541714,66.79364483725868,46.35224474212586
Au,analyte_01,47,63.95117931336383,1.3099999999999952,92.17522987541714,70.36277089726525,48.817694132338985
Au,analyte_01,48,63.93775699285122,1.230000000000004,92.17522987541714,74.93921128082671,51.981916254350416
Au,analyte_01,49,63.92567941936465,1.1800000000000068,92.17522987541714,78.11460158933612,54.174304592681594
Au,analyte_01,50,63.91479501299077,1.1099999999999994,92.17522987541714,83.04074763551098,57.580896408099825
Au,analyte_01,51,63.90498911792741,1.0699999999999932,92.17522987541714,86.14507464992312,59.72428889525964
Au,analyte_01,52,63.896150283190586,1.029999999999987,92.17522987541714,89.49051444215371,62.03509736232174
Au,analyte_01,53,63.88817779881183,0.980000000000004,92.17522987541714,94.0563570157314,65.19201816205262
Au,analyte_01,54,63.88098094907051,0.9400000000000119,92.17522987541714,98.05875518661274,67.95849037135075
Au,analyte_01,55,63.87448360922652,0.9000000000000057,92.17522987541714,102.41692208379618,70.97164845469568
Au,analyte_02,45,63.881556193674214,1.4699999999999989,91.83046948933007,62.46970713559874,43.45684094807773
Au,analyte_02,46,63.86496602441797,1.3799999999999955,91.83046948933007,66.54381847052926,46.27896088725955
Au,analyte_02,47,63.850048474709986,1.2999999999999972,91.83046948933007,70.6388226841002,49.11542190362317
Au,analyte_02,48,63.836624679108255,1.2299999999999898,91.83046948933007,74.6589182840088,51.899694861064056
Au,analyte_02,49,63.82454409105847,1.1699999999999875,91.83046948933007,78.48758076011201,54.55089238552064
Au,analyte_02,50,63.81365561564223,1.1099999999999994,91.83046948933007,82.73015269309019,57.48977983391195
Au,analyte_02,51,63.80384633510071,1.0600000000000023,91.83046948933007,86.63251838616026,60.192307863302425
Au,analyte_02,52,63.79500093323905,1.0100000000000051,91.83046948933007,90.92125692012833,63.163367260632405
Au,analyte_02,53,63.78702163898142,0.9699999999999989,91.83046948933007,94.67058710240225,65.75981612266133
Au,analyte_02,54,63.77981866721499,0.9399999999999977,91.83046948933007,97.69198881843649,67.8508709225693
Au,analyte_02,55,63.7733147330892,0.8999999999999986,91.83046948933007,102.03385498814468,70.85923859232145
Cu,analyte_01,45,63.844478702291184,1.8199999999999932,91.05315246985822,50.21410014896563,35.079383902357925
Cu,analyte_01,46,63.830222885674665,1.730000000000004,91.05315246985822,52.82639437636815,36.896082592875445
Cu,analyte_01,47,63.817427843169874,1.6600000000000108,91.05315246985822,55.054013416335245,38.44423364046353
Cu,analyte_01,48,63.80594373320954,1.5799999999999983,91.05315246985822,57.84155839944127,40.383508691904815
Cu,analyte_01,49,63.79563237512864,1.5300000000000011,91.05315246985822,59.731805405958845,41.69649174845006
Cu,analyte_01,50,63.78637642670227,1.470000000000006,91.05315246985822,62.16983827967125,43.39209280728028
Cu,analyte_01,51,63.77806708694109,1.4200000000000088,91.05315246985822,64.35891709233559,44.91413175136669
Cu,analyte_01,52,63.77061160631201,1.3700000000000045,91.05315246985822,66.7077826796473,46.54789168343927
Cu,analyte_01,53,63.76392176683142,1.3299999999999983,91.05315246985822,68.7140317827949,47.942798320925945
Cu,analyte_01,54,63.75792362079795,1.289999999999992,91.05315246985822,70.84469943497494,49.424746992866936
Cu,analyte_01,55,63.75255248521487,1.259999999999991,91.05315246985822,72.5314779929506,50.59726387715502
Cu,analyte_02,45,63.744086038202774,1.7999999999999972,91.05315246985822,50.585084705476866,35.41338113233493
Cu,analyte_02,46,63.72982930155909,1.7199999999999989,91.05315246985822,52.93787934294086,37.05222633811577
Cu,analyte_02,47,63.71702963660161,1.6399999999999935,91.05315246985822,55.52021492064548,38.85184733939138
Cu,analyte_02,48,63.70554365698805,1.5800000000000054,91.05315246985822,57.6285775125683,40.31996433986571
Cu,analyte_02,49,63.69522680467944,1.5100000000000051,91.05315246985822,60.30010097341584,42.18226940707233
Cu,analyte_02,50,63.685961859887165,1.460000000000008,91.05315246985822,62.365172924560085,43.620521821840285
Cu,analyte_02,51,63.677646789630764,1.4099999999999966,91.05315246985822,64.57670387933223,45.16145162385171
Cu,analyte_02,52,63.670182750006354,1.3699999999999903,91.05315246985822,66.46215508748821,46.474585948910075
Cu,analyte_02,53,63.663485938678555,1.3299999999999983,91.05315246985822,68.46101689463033,47.86728266066063
Cu,analyte_02,54,63.657479773110786,1.2899999999999991,91.05315246985822,70.58383912392115,49.346883545047156
Cu,analyte_02,55,63.65210031903319,1.259999999999998,91.05315246985822,72.26440672210981,50.51753993574071
